planet_id,fold
0,25
1,11
2,3
3,25
4,10
5,19
6,22
7,11
8,17
9,19
10,26
11,7
12,5
13,6
14,21
15,3
16,2
17,20
18,24
19,8
20,6
21,4
22,7
23,15
24,24
25,12
26,22
27,6
28,23
29,13
30,4
31,0
32,8
33,17
34,6
35,26
36,18
37,4
38,13
39,15
40,16
41,24
42,17
43,18
44,6
45,1
46,23
47,5
48,2
49,20
50,8
51,5
52,2
53,0
54,16
55,24
56,1
57,14
58,1
59,24
60,13
61,20
62,14
63,22
64,5
65,7
66,2
67,18
68,20
69,10
70,11
71,9
72,11
73,20
74,22
75,5
76,7
77,5
78,23
79,21
80,24
81,25
82,9
83,21
84,9
85,13
86,10
87,14
88,8
89,23
90,14
91,13
92,9
93,3
94,14
95,9
96,19
97,4
98,2
99,15
100,2
101,0
102,24
103,26
104,10
105,22
106,15
107,12
108,20
109,8
110,0
111,4
112,15
113,4
114,13
115,8
116,7
117,14
118,16
119,9
120,3
121,23
122,12
123,22
124,22
125,23
126,11
127,9
128,15
129,19
130,21
131,13
132,12
133,0
134,15
135,23
136,7
137,8
138,16
139,4
140,7
141,20
142,4
143,19
144,11
145,13
146,14
147,22
148,25
149,2
150,12
151,16
152,16
153,12
154,16
155,7
156,21
157,23
158,4
159,15
160,20
161,14
162,25
163,4
164,23
165,1
166,16
167,8
168,26
169,12
170,5
171,13
172,17
173,3
174,6
175,7
176,24
177,16
178,15
179,11
180,22
181,11
182,15
183,13
184,15
185,8
186,8
187,25
188,7
189,22
190,6
191,9
192,0
193,18
194,21
195,6
196,20
197,6
198,13
199,21
200,3
201,16
202,9
203,6
204,8
205,7
206,0
207,1
208,4
209,17
210,16
211,11
212,25
213,13
214,4
215,6
216,11
217,16
218,10
219,19
220,6
221,19
222,4
223,8
224,8
225,24
226,20
227,0
228,19
229,14
230,17
231,20
232,13
233,18
234,6
235,26
236,1
237,26
238,10
239,14
240,11
241,6
242,11
243,24
244,5
245,23
246,3
247,25
248,5
249,25
250,15
251,0
252,0
253,6
254,20
255,4
256,9
257,17
258,16
259,25
260,5
261,19
262,13
263,21
264,19
265,23
266,2
267,24
268,23
269,8
270,26
271,11
272,17
273,18
274,20
275,20
276,18
277,19
278,17
279,22
280,12
281,3
282,2
283,3
284,15
285,23
286,7
287,18
288,9
289,11
290,8
291,25
292,14
293,26
294,5
295,12
296,5
297,7
298,10
299,11
300,7
301,22
302,20
303,19
304,1
305,13
306,8
307,4
308,12
309,13
310,18
311,13
312,5
313,3
314,5
315,7
316,5
317,3
318,9
319,13
320,26
321,10
322,2
323,4
324,5
325,4
326,14
327,8
328,13
329,15
330,3
331,19
332,0
333,0
334,26
335,15
336,1
337,14
338,2
339,0
340,0
341,12
342,21
343,20
344,17
345,6
346,20
347,10
348,21
349,13
350,0
351,23
352,10
353,7
354,16
355,20
356,1
357,3
358,0
359,25
360,16
361,26
362,12
363,10
364,4
365,13
366,25
367,7
368,12
369,18
370,23
371,18
372,11
373,25
374,2
375,26
376,13
377,18
378,11
379,9
380,24
381,11
382,11
383,4
384,6
385,14
386,13
387,16
388,8
389,18
390,25
391,3
392,21
393,13
394,12
395,1
396,13
397,23
398,23
399,23
400,15
401,7
402,2
403,0
404,26
405,13
406,19
407,23
408,23
409,19
410,0
411,24
412,14
413,19
414,11
415,4
416,26
417,3
418,7
419,0
420,13
421,16
422,26
423,20
424,4
425,1
426,20
427,21
428,0
429,22
430,1
431,13
432,17
433,10
434,24
435,1
436,13
437,19
438,9
439,25
440,20
441,13
442,16
443,1
444,14
445,23
446,7
447,19
448,23
449,4
450,14
451,18
452,2
453,0
454,20
455,21
456,16
457,15
458,5
459,17
460,16
461,16
462,12
463,5
464,0
465,26
466,10
467,12
468,0
469,12
470,5
471,20
472,13
473,0
474,5
475,19
476,22
477,13
478,21
479,23
480,26
481,18
482,1
483,1
484,8
485,9
486,4
487,12
488,23
489,10
490,1
491,16
492,8
493,11
494,18
495,6
496,6
497,7
498,11
499,21
500,21
501,12
502,16
503,25
504,18
505,18
506,16
507,21
508,1
509,22
510,18
511,18
512,22
513,15
514,25
515,4
516,3
517,6
518,6
519,0
520,25
521,23
522,23
523,17
524,2
525,13
526,16
527,18
528,25
529,2
530,14
531,8
532,15
533,21
534,13
535,23
536,2
537,19
538,19
539,21
540,10
541,18
542,25
543,9
544,25
545,26
546,19
547,5
548,6
549,19
550,10
551,25
552,9
553,22
554,23
555,22
556,4
557,15
558,12
559,1
560,3
561,7
562,17
563,17
564,4
565,11
566,13
567,6
568,21
569,16
570,18
571,2
572,3
573,7
574,14
575,1
576,22
577,9
578,20
579,10
580,6
581,0
582,24
583,6
584,9
585,15
586,17
587,16
588,22
589,25
590,9
591,4
592,14
593,0
594,21
595,18
596,18
597,15
598,7
599,6
600,5
601,21
602,9
603,22
604,7
605,7
606,13
607,16
608,7
609,19
610,14
611,24
612,2
613,11
614,9
615,20
616,21
617,25
618,1
619,18
620,23
621,18
622,20
623,15
624,24
625,11
626,2
627,25
628,1
629,15
630,19
631,5
632,18
633,24
634,3
635,23
636,0
637,2
638,24
639,1
640,24
641,15
642,21
643,22
644,15
645,1
646,25
647,25
648,0
649,6
650,3
651,7
652,9
653,20
654,12
655,7
656,21
657,1
658,22
659,6
660,14
661,7
662,14
663,11
664,25
665,24
666,11
667,9
668,15
669,19
670,17
671,11
672,19
673,8
674,23
675,24
676,26
677,2
678,6
679,10
680,8
681,5
682,17
683,23
684,17
685,21
686,1
687,22
688,19
689,10
690,10
691,15
692,2
693,16
694,7
695,15
696,9
697,23
698,4
699,4
700,24
701,8
702,8
703,21
704,19
705,14
706,1
707,8
708,10
709,21
710,10
711,24
712,11
713,13
714,8
715,26
716,25
717,14
718,18
719,24
720,10
721,19
722,10
723,3
724,17
725,15
726,19
727,10
728,25
729,21
730,25
731,4
732,12
733,20
734,14
735,18
736,24
737,26
738,1
739,13
740,16
741,23
742,6
743,11
744,14
745,26
746,18
747,4
748,5
749,24
750,16
751,16
752,19
753,20
754,8
755,22
756,24
757,0
758,11
759,8
760,19
761,19
762,7
763,0
764,14
765,24
766,25
767,20
768,22
769,16
770,15
771,20
772,26
773,12
774,5
775,20
776,8
777,9
778,12
779,25
780,1
781,11
782,16
783,15
784,7
785,4
786,14
787,24
788,0
789,3
790,7
791,7
792,3
793,2
794,20
795,25
796,6
797,7
798,11
799,11
800,26
801,18
802,24
803,12
804,16
805,9
806,6
807,2
808,24
809,22
810,23
811,3
812,21
813,0
814,2
815,13
816,21
817,25
818,0
819,6
820,5
821,16
822,2
823,21
824,18
825,11
826,2
827,24
828,16
829,17
830,3
831,25
832,23
833,18
834,16
835,8
836,0
837,26
838,13
839,16
840,2
841,13
842,17
843,8
844,26
845,1
846,4
847,10
848,5
849,20
850,2
851,14
852,5
853,14
854,6
855,0
856,7
857,15
858,13
859,3
860,26
861,7
862,6
863,22
864,2
865,24
866,7
867,6
868,11
869,23
870,16
871,25
872,3
873,21
874,1
875,18
876,14
877,15
878,0
879,1
880,0
881,17
882,13
883,4
884,22
885,15
886,1
887,23
888,26
889,18
